Title,Image_Name,Cleaned_Ingredients,ingredient_list,multi_hot
Rosemary Beef Fillet,rosemary-beef-fillet-233246,"['1 (3 1/2-lb) trimmed and tied center-cut beef tenderloin roast at room temperature', '4 teaspoons kosher salt', '1 teaspoon black pepper', '2 garlic cloves, finely chopped', '6 (3- to 4-inch) fresh rosemary sprigs', '3 tablespoons extra-virgin olive oil', 'Accompaniment: coarse-grain or Dijon mustard']","['beef tenderloin roast', 'kosher salt', 'black pepper', 'garlic', 'rosemary', 'extra-virgin olive oil', 'ac']",[0 0 0 ... 0 0 0]
Ombre Christmas Tree Cookies,ombre-christmas-tree-cookies,"['All-purpose flour (for dusting)', '1 batch All-in-One Sugar Cookie Dough, chilled', '2 cups white royal icing', 'Sanding sugar in 3 shades of green and gold dragees (for decorating)', '3""–5"" tree cookie cutters; a small offset spatula']","['all-purpose flour', 'all-', 'one sugar cookie dough', 'white royal icing', 'sanding sugar', 'green', 'tree cookie cutters']",[0 0 0 ... 0 0 0]
Crustless Mini Quiches,crustless-mini-quiches-366969,"['Nonstick cooking spray', '1/2 head broccoli, thick stems removed and separated into florets', '6 large eggs', '6 large egg yolks', '2/3 cup (5 fl oz/160 ml) whole milk', '2/3 cup (5 fl oz/160 ml) heavy cream', '1 tsp kosher salt', '1/2 tsp ground black pepper', '3/4 cup (3 oz/90 g) shredded sharp Cheddar cheese']","['cooking spray', 'broccoli', 'eggs', 'egg yolks', 'milk', 'heavy cream', 'kosher salt', 'black pepper', 'cheddar cheese']",[0 0 0 ... 0 0 0]
Pickled Vegetables,pickled-vegetables-235767,"['2 1/2 cups distilled white vinegar', '3 cups water', '3/4 cup sugar', '5 tablespoons kosher salt', '1 teaspoon yellow mustard seeds', '1/2 teaspoon dried hot red-pepper flakes', '1 head cauliflower (2 lb), trimmed and broken into 1- to 1 1/2-inch florets (6 cups)', '1 red bell pepper, cut into 1-inch pieces', '1 yellow bell pepper, cut into 1-inch pieces', '4 carrots, cut diagonally into 1/2-inch-thick slices (2 cups)', '4 celery ribs, cut into 1-inch-thick slices (3 cups)', '1 cup drained bottled whole peperoncini (4 oz)', '1 cup large brine-cured green olives (preferably Sicilian; 6 oz)', '1/2 cup oil-cured black olives (6 oz)']","['white vinegar', 'water', 'sugar', 'kosher salt', 'yellow mustard seeds', 'red-pepper flakes', 'head cauliflower', 'red bell pepper', 'yellow bell pepper', 'carrots', 'celery ribs', 'peperoncini', 'red green olives', 'black olives']",[0 0 0 ... 0 0 0]
Lebkuchen (German Honey Bars),lebkuchen-german-honey-bars,"['1 cup (320g) honey', '2 tablespoons (30g) water', '6 tablespoons (3/4 stick or 85g) unsalted butter, cut into cubes', '¾ cup packed (175g) brown sugar', '2 large eggs, lightly beaten', 'Finely grated zest of 1 lemon', '1 tablespoon (15g) lemon juice', '2 ½ cups sifted (300g) all-purpose flour', '½ teaspoon baking soda', '1 tablespoon ground cinnamon', '1 teaspoon ground cloves', '½ teaspoon grated or ground nutmeg', '¼ teaspoon ground cardamom', '¼ teaspoon ground anise', '½ teaspoon salt', '1/3 cup chopped blanched almonds', '1/3 cup chopped citron', '1/3 cup chopped candied orange peel', '1 ¼ cups powdered sugar, sifted', 'Finely grated zest of 1 lemon', '2 tablespoons lemon juice', '½ teaspoon vanilla', 'Candied cherries (optional)', 'Blanched almonds (optional)']","['honey', 'water', 'ted butter', 'brown sugar', 'eggs', 'zest', 'lemon', 'lemon juice', 'all-purpose flour', 'baking soda', 'cinnamon', 'cloves', 'nutmeg', 'cardamom', 'anise', 'salt', 'almonds', 'citron', 'orange peel', 'ed sugar', 'vanilla', 'ed cherries', 'd almonds']",[0 0 0 ... 0 0 0]
Whole Wheat-Crusted Chicken Breast Cutlets,whole-wheat-crusted-chicken-breast-cutlets-239147,"['Olive oil for brushing', '4 (6-ounce) boneless, skinless chicken-breast halves (if they weigh more than 6 ounces, halve and reduce cooking time by 5 minutes)', 'Salt and freshly ground black pepper to taste', '""2 tablespoons Frenchs or Dijon mustard"", 2 tablespoons mayonnaise', '1 1/2 cups store-bought or homemade whole-wheat bread crumbs']","['olive oil', 'chicken-breast halves', 'salt', 'black pepper', 'frenchs', 'wheat bread crumbs']",[0 0 0 ... 0 0 0]
"Pasta with 15-Minute Garlic, Oil, and Anchovy Sauce",pasta-with-15-minute-garlic-oil-and-anchovy-sauce-56390061,"['1 pound spaghettini or spaghetti', 'Kosher salt', '4 oil-packed flat anchovy fillets', '6 large garlic cloves, thinly sliced', '1/2 teaspoon crushed red pepper flakes', '1 cup plus 3 tablespoons olive oil, divided', '1/2 cup finely chopped fresh flat-leaf parsley', '1 cup panko (Japanese breadcrumbs) or coarse fresh breadcrumbs', 'Freshly ground black pepper', 'Freshly grated Parmesan (for serving)']","['spaghettini', 'kosher salt', 'oil', 'anchovy fillets', 'garlic', 'red pepper flakes', 'olive oil', 'leaf parsley', 'panko', 'black pepper', 'parmesan']",[0 0 0 ... 0 0 0]
Grilling Cheese With Sweet Peppers and Black Lentils,grilling-cheese-with-sweet-peppers-and-black-lentils-recipe,"['Kosher salt', '¾ cup black beluga lentils', '3 Tbsp. sherry vinegar or red wine vinegar', '1 Tbsp. honey', '5 Tbsp. extra-virgin olive oil, divided', 'Freshly ground black pepper', '8 oz. grilling cheese (such as bread, Halloumi, or paneer), torn into 2"" pieces', '1 lb. sweet mini peppers, ribs and seeds removed, halved lengthwise, cut into thirds if large', '½ tsp. dried oregano', '¼ cup (packed) basil leaves, torn if large', 'Flaky sea salt']","['kosher salt', 'black beluga lentils', 'sherry vinegar', 'honey', 'extra-virgin olive oil', 'black pepper', 'grilling cheese', 'sweet mini peppers', 'oregano', 'basil leaves', 'flaky sea salt']",[0 0 0 ... 0 0 0]
Poached Salmon with Basil Butter and Succotash,poached-salmon-with-basil-butter-and-succotash-243624,"['Kosher salt to taste', '1 cup mixed shell beans, such as cranberry, fava, lima, flageolets, and/or butter beans', '3 tablespoons unsalted butter, softened', '1 small onion, finely diced', '1 cup fresh corn kernels (from about 1 large ear of corn)', '1 cup Chicken Stock, high-quality low-sodium store-bought chicken stock, or water', 'Black pepper from a mill', '1 large shallot, finely diced', 'Four 6-ounce wild salmon fillets, skin and any pin bones removed', '1/2 cup Fish Stock', '1/2 cup dry white wine', '1 teaspoon freshly squeezed lemon juice', '1/3 cup heavy cream', '1/2 cup (1 stick) cold unsalted butter, cut into 1/2-inch cubes', '3 tablespoons fresh basil (preferably a mix of green and purple basil) cut into chiffonade']","['kosher salt', 'mixed', 'beans', 'ted butter', 'onion', 'corn kernels', 'chicken stock', 'black pepper', 'shallot', 'wild salmon fillets', 'fish stock', 'white wine', 'ed lemon juice', 'heavy cream', 'basil', 'bas']",[0 0 0 ... 0 0 0]
Mint Julep Spritzer,mint-julep-spritzer-201194,"['3/4 cup fresh lemon juice', '2/3 cup sugar', '1 cup (packed) fresh mint leaves', '1 cup bourbon', '2 10-ounce bottles of chilled club soda', '6 cups crushed ice', '8 fresh mint sprigs']","['lemon juice', 'sugar', 'mint leaves', 'bourbon', 'ed club soda', 'ed ice', 'mint']",[0 0 0 ... 0 0 0]
Vermicelli Noodles with Lemongrass Pork Meatballs,vermicelli-noodles-with-lemongrass-pork-meatballs,"['2 stalks lemongrass', '2 pounds ground pork', '1 tablespoon fish sauce', '2 1/2 teaspoons kosher salt', '2 teaspoons sugar', '1/4 teaspoon white pepper', '1/4 cup fish sauce', '2 tablespoons sugar', '2 tablespoons lime juice or white vinegar', '1 clove garlic, peeled and minced', '1 Thai chile or half of a serrano chile, stemmed and minced', '2 cups canola oil', '4 shallots, peeled and thinly sliced', '1 pound rice vermicelli', '2 carrots, peeled and julienned', '1 small cucumber, peeled and thinly sliced', 'Shredded lettuce', 'Mint leaves', 'Cilantro leaves', 'Chopped peanuts']","['lemongrass', 'pork', 'fish sauce', 'kosher salt', 'sugar', 'white pepper', 'lime juice', 'garlic', 'thai chile', 'canola oil', 'shallots', 'rice vermicelli', 'carrots', 'cucumber', 'lett', 'mint leaves', 'cilantro leaves', 'peanuts']",[0 0 0 ... 0 0 0]
Pickled Pears,pickled-pears-394674,"['1 cup unseasoned rice vinegar', '1 tablespoon sugar', '1 tablespoon kosher salt', '1 2"" piece ginger, peeled, thinly sliced', '1 small red or green chile (such as jalapeño, serrano, or Thai), with seeds, thinly sliced', '1 teaspoon whole black peppercorns', '1/2 teaspoon gochugaru (Korean red pepper powder) or crushed red pepper flakes', '1 Asian pear', 'large unripe Anjou pear', 'or Granny Smith apple', 'peeled', 'cored', 'cut into 1"" cubes']","['rice vinegar', 'sugar', 'kosher salt', 'ginger', 'red', 'green chile', 'black peppercorns', 'gochugaru', 'asian pear', 'unripe anjou pear']",[0 0 0 ... 0 0 0]
Colombian Arepas,colombian-arepas-239943,"['1 cup arepa flour (precooked cornmeal)', '1 cup crumbled ricotta salata or grated mozzarella (1/4 pound)', '1 cup plus 2 tablespoons water', '1/4 cup vegetable oil']","['arepa flour', 'ricotta salata', 'water', 'vegetable oil']",[0 0 0 ... 0 0 0]
Sweet Ricotta Pudding with Roasted Grapes,sweet-ricotta-pudding-with-roasted-grapes-242876,"['2 tablespoons unsalted butter, melted, divided', '1 tablespoon plain fine dry bread crumbs', '1 2/3 cups whole-milk ricotta (15 ounces)', '2 large eggs', '1/4 teaspoon cinnamon', '1/8 teaspoon salt', '5 tablespoons sugar, divided', '1 1/2 tablespoons pine nuts, toasted', '2 cups red seedless grapes (3/4 pound), halved', '1 tablespoon balsamic vinegar']","['ted butter', 'bread crumbs', 'whole-milk ricotta', 'eggs', 'cinnamon', 'salt', 'sugar', 'pine nuts', 'red', 'grapes', 'balsamic vinegar']",[0 0 0 ... 0 0 0]
Kids' Chicken Katsu,kids-chicken-katsu,"['1/2 cup ketchup', '2 tablespoons Worcestershire sauce', '2 teaspoons strawberry jam', '1 1/2 pounds chicken cutlets, pounded 1/3 inch thick', 'Kosher salt', '3/4 cup all-purpose flour', '3 large eggs, beaten to blend', '2 cups panko (Japanese breadcrumbs)', '8 tablespoons vegetable or grapeseed oil, divided', 'Cooked short-grain rice (for serving)']","['ketchup', 'worcestershire sauce', 'strawberry jam', 'chicken cutlets', 'kosher salt', 'all-purpose flour', 'eggs', 'blend', 'panko', 'bread', 'vegetable', 'oil', 'short', 'grain rice']",[0 0 0 ... 0 0 0]
3-Ingredient Steak With Crispy Parmesan Potatoes,3-ingredient-steak-with-crispy-parmesan-potatoes,"['2 pounds small new potatoes', 'Kosher salt', '1/2 cup olive oil, divided', '3/4 cup grated Parmesan', '1 (1 1/2-pound) hanger steak', 'Freshly ground black pepper']","['potatoes', 'kosher salt', 'olive oil', 'parmesan', 'hanger steak', 'black pepper']",[0 0 0 ... 0 0 0]
Slow-Cooked Green Beans with Harissa and Cumin,slow-cooked-green-beans-with-harissa-and-cumin,"['1 lb. green or other snap beans, trimmed', '1/2 head of garlic', '1/2 cup extra-virgin olive oil', '1 Tbsp. harissa paste', '3/4 tsp. cumin seeds', '3/4 tsp. kosher salt', '1 Tbsp. sherry vinegar']","['green', 'be', 'garlic', 'extra-virgin olive oil', 'harissa paste', 'cumin seeds', 'kosher salt', 'sherry vinegar']",[0 0 0 ... 0 0 0]
Spinach in Yogurt Sauce,spinach-in-yogurt-sauce-394650,"['3 1/2 tablespoons vegetable oil, divided', '1/2 small onion, chopped', '1 pound spinach, coarse stems discarded and leaves finely chopped', '1 small fresh green chile, such as serrano, Thai, or jalapeño, slit lengthwise with stem end intact', '2 tablespoons water', 'Salt', '1 cup plain yogurt (not Greek-style)', '1 teaspoon brown mustard seeds', '1 teaspoon cumin seeds', '1/8 teaspoon hot red pepper flakes', '10 fresh curry leaves (optional)']","['vegetable oil', 'onion', 'spinach', 'green chile', 'water', 'salt', 'yogurt', 'brown mustard seeds', 'cumin seeds', 'red pepper flakes', 'curry leaves']",[0 0 0 ... 0 0 0]
Persephone,persephone-363849,"['1/3 cup dried culinary lavender*', '2/3 cup superfine sugar', '8 ounces pure mango juice', '8 ounces distilled or tap water', 'Juice of 1 lime', '1/4 cup lavender crystals', '2 ounces mango elixir', '2 ounces pomegranate juice', '2 ounces simple syrup', 'Ice', '9 ounces soda water', '*Dried culinary lavender is available online or at some specialty food stores.']","['culinary lavender', 'sugar', 'pure mango juice', 'juice', 'lime', 'lavender crystals', 'mango elixir', 'pomegranate juice', 'syrup', 'ice', 'soda water', 'culinar', 'lavender']",[0 0 0 ... 0 0 0]
Spiced Veal Roulades,spiced-veal-roulades-238251,"['12 (3- to 4-ounce) veal scallops', '7 tablespoons butter, room temperature, divided', '2 tablespoons chopped fresh Italian parsley', '1 cup all purpose flour', '2 large eggs', '2 garlic cloves, minced', '1 teaspoon coarse kosher salt', '1 teaspoon ground cinnamon', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon ground cloves', '1/4 teaspoon ground nutmeg', '3 tablespoons extra-virgin olive oil']","['veal scallops', 'butter', 'italian parsley', 'flour', 'eggs', 'garlic', 'kosher salt', 'cinnamon', 'black pepper', 'cloves', 'nutmeg', 'extra-virgin olive oil']",[0 0 0 ... 0 0 0]
Fennel- and Dill-Rubbed Grilled Salmon,fennel-and-dill-rubbed-grilled-salmon-232377,"['1 tablespoon fennel seeds', '1/4 cup plus 2 teaspoons (packed) golden brown sugar', '3 tablespoons Pimentón de la Vera (Spanish smoked paprika)', '1 tablespoon coarse kosher salt', '2 teaspoons freshly ground black pepper', '2 teaspoons dried dill weed', 'Nonstick vegetable oil spray', '1 3 3/4- to 4-pound side of salmon with skin (preferably wild salmon)', 'Olive oil']","['fennel seeds', 'golden brown sugar', 'pimentón de la vera', 'kosher salt', 'black pepper', 'dill weed', 'vegetable oil spray', 'salmon', 'olive oil']",[0 0 0 ... 0 0 0]
Gingerbread Trees with Juniper Berry Glaze,gingerbread-trees-with-juniper-berry-glaze-236805,"['2 1/4 cups unbleached all purpose flour', '1 teaspoon ground ginger', '1 teaspoon ground allspice', '1/2 teaspoon ground cinnamon', '1/2 teaspoon baking soda', '1/2 teaspoon salt', '1 cup (2 sticks) unsalted butter, room temperature', '1/2 cup (packed) golden brown sugar', '1/4 cup mild-flavored (light) molasses', '3/4 cup half and half', '1/3 cup (1 ounce) juniper berries, lightly crushed', '1 pound powdered sugar', 'Assorted decorations (colored sugars', 'nonpareils', 'and dragées)']","['flour', 'ginger', 'allspice', 'cinnamon', 'baking soda', 'salt', 'ted butter', 'golden brown sugar', 'ed', 'molasses', 'half', 'juniper berries', 'ed sugar', 'assorted decorations', 'nonpare', 'dragées']",[0 0 0 ... 0 0 0]
Coconut Zucchini Noodles and Spiced Meatballs,coconut-zucchini-noodles-and-spiced-meatballs,"['1 pound ground pasture-raised lamb', '1 tablespoon freshly grated ginger', '2 scallions, sliced paper-thin', '1 teaspoon ground turmeric', '1 tablespoon wheat-free tamari', '1 tablespoon fish sauce (Red Boat is a Clean-approved brand)', '1 tablespoon lime juice', '2 to 3 tablespoons coconut oil', '1/2 cup sliced onions', '2 garlic cloves', '2 tablespoons minced lemongrass', '1 red chile pepper, minced (optional)', '1 (13.5-ounce) can unsweetened coconut milk', '1/4 cup water', '1 broccoli crown, cut into small florets (about 2 cups)', '3/4 to 1 pound zucchini, ends removed and sliced lengthwise with a peeler or mandoline into long pappardelle-like “noodles”', 'Sea salt to taste', '1/2 cup roughly chopped fresh cilantro', '1 lime', 'cut into wedges']","['pasture', 'ed lamb', 'ginger', 'scallions', 'turmeric', 'w', 'tamari', 'fish sauce', 'lime juice', 'coconut oil', 'onions', 'garlic', 'lemongrass', 'red chile pepper', 'ed coconut milk', 'water', 'broccoli', 'zucchini', 'sea salt', 'cilantro', 'lime']",[0 0 0 ... 0 0 0]
Sea Urchin Mousse with Ginger Vinaigrette,sea-urchin-mousse-with-ginger-vinaigrette-232779,"['1/2 teaspoon unflavored gelatin (from 1 envelope)', '1/2 cup cooled vegetable broth', '1 (4-oz) tray uni (sea urchin roe)', '1 large egg yolk', '1/4 teaspoon salt', '1/2 teaspoon fresh lemon juice', 'Pinch of cayenne', '1/3 cup chilled heavy cream', '2 teaspoons finely grated (with a rasp) peeled fresh ginger', '2 teaspoons fresh lemon juice', '1/8 teaspoon salt', '3 tablespoons mild extra-virgin olive oil (preferably French)', 'Garnish: chopped chives and thinly sliced cucumber', 'an instant-read thermometer']","['ed gelatin', 'vegetable broth', 'tray uni', 'egg yolk', 'salt', 'lemon juice', 'cayenne', 'ed heavy cream', 'ginger', 'mild extra', 'virgin olive oil', 'chives', 'cucumber', 'thermometer']",[0 0 0 ... 0 0 0]
Mortadella Moments,mortadella-moments,"['1 (8x8"") piece of focaccia', 'Mayonnaise (for spreading)', '2 lb. very thinly sliced mortadella', '16 peperoncini', 'halved or quartered if very large']","['focaccia', 'mayonnaise', 'mortadella', 'peperoncini']",[0 0 0 ... 0 0 0]
String Bean & Arugula Salad,string-bean-arugula-salad-51100200,"['3/4 pound green and/or yellow string beans, trimmed', '3 tablespoons extra-virgin olive oil', '2 cloves garlic, peeled and pressed', '2 cups baby or regular arugula, trimmed and chopped', '1 teaspoon finely grated lemon zest', 'Salt and freshly ground black pepper']","['green', 'yellow', 'beans', 'extra-virgin olive oil', 'garlic', 'baby', 'lemon zest', 'salt', 'black pepper']",[0 0 0 ... 0 0 0]
Cheddar-Stuffed Turkey Burgers,cheddar-stuffed-turkey-burgers,"['1 pound ground turkey', '1/4 cup sharp cheddar, diced small', '2 teaspoons Worcestershire sauce', '1/2 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', 'Olive oil spray', '1/4 cup caramelized onions', '4 ciabatta rolls or whole wheat buns', '4 romaine leaves, halved', '1 avocado, sliced', 'Pickled jalapeño rings (optional)', '1/4 cup Salsa Ranch Dip', '1/2 clove garlic, minced', '3 tablespoons minced fresh chives', '2 tablespoons minced fresh parsley', '1/2 teaspoon minced fresh dill', '1 teaspoon kosher salt', '1 teaspoon freshly ground black pepper', '2 cups 0% Greek yogurt', '1 tablespoon white vinegar', '1/4 cup salsa']","['turkey', 'cheddar', 'worcestershire sauce', 'kosher salt', 'black pepper', 'olive oil spray', 'onions', 'ciabatta roll', 'romaine leaves', 'avocado', 'led jalapeño rings', 'salsa ranch dip', 'garlic', 'chives', 'parsley', 'dill', 'greek yogurt', 'white vinegar', 'salsa']",[0 0 0 ... 0 0 0]
Shrimp and Fingerlings in Tomato Broth,shrimp-and-fingerlings-in-tomato-broth-351268,"['2 tablespoons extra-virgin olive oil', '2 cups finely chopped onions', '4 garlic cloves, finely chopped', '1 tablespoon paprika', '1 14.5-ounce can diced fireroasted tomatoes in juice', '2 teaspoons chopped fresh rosemary', '1/4 teaspoon dried crushed red pepper', '1 cup dry white wine', '1 8-ounce bottle clam juice', '3 cups water', '8 ounces fingerling potatoes or baby Yukon Gold potatoes, cut crosswise into 1/4-inchthick rounds', '1 pound peeled deveined uncooked medium American shrimp']","['extra-virgin olive oil', 'onions', 'garlic', 'paprika', 'fire', 'sted tomatoes in juice', 'rosemary', 'ed red pepper', 'white wine', 'clam juice', 'water', 'fingerling potato', 'american shrimp']",[0 0 0 ... 0 0 0]
Chocolate Angel Food Cake with Fruit and Maple Yogurt,chocolate-angel-food-cake-with-fruit-and-maple-yogurt-230816,"['1 1/2 cups sugar', '1 cup unbleached all-purpose flour', '1/4 cup unsweetened cocoa powder', '1/4 teaspoon salt', '12 egg whites (or 1 1/2 cups prepackaged egg whites)', '1 teaspoon fresh lemon juice', '1 teaspoon vanilla extract', '4 cups fresh strawberries', '4 cups fresh raspberries', '1/4 cup peach nectar', '1 tablespoon honey', '1 cup plain lowfat yogurt', '2 tablespoons maple syrup']","['sugar', 'ed all-purpose flour', 'ed cocoa powder', 'salt', 'egg whites', 'lemon juice', 'vanilla extract', 'strawberries', 'raspberries', 'peach nectar', 'honey', 'yogurt', 'maple syrup']",[0 0 0 ... 0 0 0]
Kabocha Purée with Ginger,kabocha-puree-with-ginger-368294,"['1 2 - 2 1/2-pound kabocha squash, halved, seeded', 'Kosher salt and freshly ground black pepper', '1 6"" piece of ginger, peeled, thinly sliced', '1 tablespoon (packed) light brown sugar', '1 1/2 cups (or more) heavy cream', 'Cheesecloth']","['kabocha squash', 'kosher salt', 'black pepper', 'ginger', 'brown sugar', 'heavy cream', 'cheesecloth']",[0 0 0 ... 0 0 0]
Grilled Eggplant Parmigiana,grilled-eggplant-parmigiana-238668,"['1/4 cup olive oil', '2 garlic cloves, finely chopped', '1/4 teaspoon dried hot red-pepper flakes', '1 (15-ounce) can crushed tomatoes', '1/2 teaspoon salt', '1/4 cup coarsely chopped fresh basil', '1/2 ounce finely grated Parmigiano-Reggiano (1/4 cup)', '4 small Italian eggplants (1/2 pound each)', '16 thin slices whole-milk mozzarella (from a 1-lb block; not fresh)']","['olive oil', 'garlic', 'red-pepper flakes', 'ed tomatoes', 'salt', 'basil', 'parmigiano-reggiano', 'italian eggplants', 'whole-milk mozzarella']",[0 0 0 ... 0 0 0]
Jumbo Shrimp,jumbo-shrimp-243283,"['18 jumbo-size shrimp (about 2 1/4 pounds), peeled and deveined along the curve of the back, tails left on', '4 tablespoons fish sauce (an Asian condiment)', '2 tablespoons olive oil', '2 tablespoons sugar', '2 tablespoons finely grated lemon zest']","['shrimp', 'fish sauce', 'olive oil', 'sugar', 'lemon zest']",[0 0 0 ... 0 0 0]
Eggs Baked in Crispy Prosciutto Baskets,eggs-baked-in-crispy-prosciutto-baskets-recipe,"['Olive oil (for pan)', '12 slices prosciutto (about 6 ounces)', '1 cup grated Gruyère (about 2 1/2 ounces)', '12 large eggs', '1/4 cup heavy cream', '1 teaspoon chopped thyme', '1/8 teaspoon kosher salt', '1/8 teaspoon freshly ground black pepper', 'A standard 12-cup muffin pan']","['olive oil', 'prosciutto', 'gruyère', 'eggs', 'heavy cream', 'thyme', 'kosher salt', 'black pepper', 'muffin pan']",[0 0 0 ... 0 0 0]
Garbanzo Bean Stew with Escarole,garbanzo-bean-stew-with-escarole-363376,"['1/2 teaspoon olive oil', '1/2 small onion, chopped', '2 cloves garlic, finely chopped', 'Salt and black pepper', '7 ounces (1/2 can) garbanzo beans (chickpeas), drained', '1 cup reduced-sodium chicken broth', '2 teaspoons chopped fresh thyme or 1 teaspoon dried', '1/4 teaspoon crumbled saffron', '1 cup thinly sliced escarole (about 1/2 head)']","['olive oil', 'onion', 'garlic', 'salt', 'black pepper', 'garbanzo beans', 'chicken broth', 'thyme', 'saffron', 'escarole']",[0 0 0 ... 0 0 0]
Persian Cream Puffs (Noon'e Chamei),persian-cream-puffs-em-noone-chamei-em-51110000,"['1 cup water', '1 stick unsalted parve margarine (4 oz.)', '1/2 teaspoon salt', '1 cup flour', '5 eggs', '1 pint (8 oz.) parve whipping cream, whipped', '1 cup powdered sugar', '1 cup honey', '1/4 cup rose water', '1/2 teaspoon saffron', '1/2 teaspoon cardamom']","['water', 'parve margarine', 'salt', 'flour', 'eggs', 'parve whipping cream', 'ed sugar', 'honey', 'rose water', 'saffron', 'cardamom']",[0 0 0 ... 0 0 0]
Spring Vegetable Ragoût,spring-vegetable-ragout-103321,"['1 pound leeks', '1pound fennel bulb (sometimes called anise)', '1/4 pound fresh morels', '1 pound baby turnips, trimmed and halved', '1 pound baby carrots, trimmed', '2 pound fresh fava beans, shelled (1 cup)', '1 pound mixed fingerling or other small boiling potatoes', '2 shallots', '3/4 stick (6 tablespoons) unsalted butter', '3 cups chicken broth', '1 1/2 tablespoons freshly grated lemon zest', '1/2 cup chopped mixed fresh tarragon, chives, and flat-leaf parsley', '1/4 cup dry white wine', '3/4 pound asparagus, trimmed and cut diagonally into 2-inch pieces', '2 yellow bell peppers, coarsely chopped', 'Accompaniments: crusty bread and parmesan shavings']","['leeks', 'fennel bulb', 'ani', 'morels', 'baby turnips', 'baby carrots', 'fava beans', 'mixed fingerling', 'shallots', 'ted butter', 'chicken broth', 'lemon zest', 'mix', 'tarragon', 'parsley', 'white wine', 'asparagus', 'yellow bell peppers', 'ac', 'bread', 'parmesan']",[0 0 0 ... 0 0 0]
Grilled Salmon with Basil Aïoli,grilled-salmon-with-basil-aioli-242704,"['2 large egg yolks (preferably organic)', '2 tablespoons chopped fresh basil', '2 garlic cloves, minced', '2 anchovy fillets, minced (1 1/3 teaspoons)', '1/2 teaspoon red wine vinegar', '1/2 teaspoon Worcestershire sauce', '1 cup olive oil', '1 tablespoon warm water', '1 tablespoon fresh lemon juice', '1/4 teaspoon (generous) hot pepper sauce', 'Olive oil (for brushing)', '1 2 1/2- to 3-pound skinless salmon fillet (about 1 inch thick)', 'Blistered Baby Zucchini', 'Baby Pattypan Squash', 'and Grilled Tomatoes']","['egg yolks', 'basil', 'garlic', 'anchovy fillets', 'red wine vinegar', 'worcestershire sauce', 'olive oil', 'water', 'lemon juice', 'pepper sauce', 'salmon fillet', 'ed baby zucchini', 'baby pattypan squash', 'tomatoes']",[0 0 0 ... 0 0 0]
Quinoa Cakes with Eggplant-Tomato Ragù and Smoked Mozzarella,quinoa-cakes-with-eggplant-tomato-ragu-and-smoked-mozzarella-241481,"['1 1/2 cups water', '1 cup quinoa', '1 large egg, lightly beaten', '4 to 5 tablespoons olive oil, divided', '1 1/2 pounds eggplant, cut into 1/2-inch cubes', '1 small onion, finely chopped', '2 teaspoons finely chopped garlic', '1/2 teaspoon dried oregano', '3 tablespoons olive oil', '1 cup grape or cherry tomatoes, halved', '1/2 cup drained bottled roasted red peppers, rinsed and chopped', '3/4 cup water', '1 tablespoon chopped flat-leaf parsley', '1/4 pound smoked mozzarella', 'diced (1 cup)']","['water', 'quinoa', 'egg', 'olive oil', 'eggplant', 'onion', 'garlic', 'oregano', 'grape', 'red peppers', 'leaf parsley', 'mozzarella']",[0 0 0 ... 0 0 0]
Cardamom Ambrosia Salad with Blue Cheese Dressing,cardamom-ambrosia-salad-with-blue-cheese-dressing-56389769,"['2 1/2 ounces blue cheese', '3 tablespoons buttermilk', '3 tablespoons sour cream', '2 teaspoons white wine vinegar', '1/4 teaspoon sugar', 'Salt and freshly ground black pepper to taste', '2 oranges, cut into suprêmes', '1 grapefruit, cut into suprêmes', '2 Champagne mangoes, peeled, pitted, and thinly sliced', '2 Anjou pears, cored and thinly sliced', '1/2 cup shredded fresh coconut', '3 ounces pitted dates, coarsely chopped, plus more for garnish', '1/4 cup slivered almonds', '3/4 teaspoon ground cardamom', '2 teaspoons coconut water', 'Chopped fresh flat-leaf parsley', 'for garnish']","['blue cheese', 'buttermilk', 'cream', 'white wine vinegar', 'sugar', 'salt', 'black pepper', 'oranges', 'grapefruit', 'champagne mangoes', 'anjou pears', 'coconut', 'dates', 'almonds', 'cardamom', 'coconut water', 'leaf parsley']",[0 0 0 ... 0 0 0]
Creamy Wild Salmon With Kale,creamy-wild-salmon-with-kale,"['1/2 teaspoon ground turmeric', '1 1/2 pounds skinless, boneless wild salmon fillet in a single piece (such as Alaskan or Copper River)', '1/4 cup cider vinegar', '4 dried red cayenne chiles (like chile de árbol), stems discarded, ground (do not remove the seeds; see Extra Credit below) or 1 teaspoon ground red pepper (cayenne)', '1 teaspoon coarse kosher or sea salt', '1/4 teaspoon ground nutmeg', '1 medium-size bunch fresh kale (about 8 ounces)', '2 tablespoons canola oil', '6 large cloves garlic, either thinly sliced or finely chopped', '1 can (13.5 to 15 ounces) unsweetened coconut milk (see Extra Credit below)']","['turmeric', 'wild salmon fillet', 'cider vinegar', 'red cayenne chiles', 'kosher', 'nutmeg', 'kale', 'canola oil', 'garlic', 'coconut milk']",[0 0 0 ... 0 0 0]
